Az (Rot),El (Rot),Time
259.1099854,80.70999908,11:26:18
258.4500122,80.76000214,11:26:19
258.1199951,80.77999878,11:26:20
257.4599915,80.81999969,11:26:21
256.7999878,80.86000061,11:26:22
256.4599915,80.87999725,11:26:23
255.8000031,80.91999817,11:26:24
255.4600067,80.94000244,11:26:25
254.7700043,80.98000336,11:26:26
254.0700073,81.01999664,11:26:27
253.7299957,81.02999878,11:26:28
253.0299988,81.06999969,11:26:29
252.6900024,81.08000183,11:26:30
251.9900055,81.12000275,11:26:31
251.2700043,81.15000153,11:26:32
250.9199982,81.16000366,11:26:33
250.2100067,81.19999695,11:26:34
249.8500061,81.20999908,11:26:35
249.1199951,81.23999786,11:26:36
248.3899994,81.26999664,11:26:37
248.0299988,81.27999878,11:26:38
247.3000031,81.30000305,11:26:39
246.9299927,81.30999756,11:26:40
246.1900024,81.33999634,11:26:41
245.4400024,81.36000061,11:26:42
245.0700073,81.37000275,11:26:43
244.3200073,81.38999939,11:26:44
243.9600067,81.40000153,11:26:45
243.2700043,81.43000031,11:26:46
242.6199951,81.44999695,11:26:47
242.3000031,81.47000122,11:26:48
241.6799927,81.5,11:26:49
241.3899994,81.51000214,11:26:50
240.8000031,81.54000092,11:26:51
240.25,81.58000183,11:26:52
239.9900055,81.59999847,11:26:53
239.4700012,81.63999939,11:26:54
239.2100067,81.65000153,11:26:55
238.7100067,81.69000244,11:26:56
238.2200012,81.73000336,11:26:57
237.9900055,81.75,11:26:58
237.5200043,81.80000305,11:26:59
237.2899933,81.81999969,11:27:00
236.8300018,81.86000061,11:27:01
236.3800049,81.91000366,11:27:02
236.1499939,81.93000031,11:27:03
235.7200012,81.98000336,11:27:04
235.5,82.01000214,11:27:05
235.0599976,82.05000305,11:27:06
234.6300049,82.09999847,11:27:07
234.4199982,82.12000275,11:27:08
234,82.16999817,11:27:09
233.7799988,82.19999695,11:27:10
233.3600006,82.25,11:27:11
232.9400024,82.30000305,11:27:12
232.7200012,82.31999969,11:27:13
232.3000031,82.37000275,11:27:14
232.0899963,82.40000153,11:27:15
231.6699982,82.44999695,11:27:16
231.25,82.5,11:27:17
231.0399933,82.51999664,11:27:18
230.6000061,82.56999969,11:27:19
230.3800049,82.59999847,11:27:20
229.9499969,82.65000153,11:27:21
229.5200043,82.69999695,11:27:22
229.3000031,82.73000336,11:27:23
228.8699951,82.77999878,11:27:24
228.6399994,82.80000305,11:27:25
228.2100067,82.84999847,11:27:26
227.7599945,82.90000153,11:27:27
227.5299988,82.93000031,11:27:28
227.0800018,82.98000336,11:27:29
226.8500061,83,11:27:30
226.3899994,83.05000305,11:27:31
225.9299927,83.09999847,11:27:32
225.6900024,83.12999725,11:27:33
225.2100067,83.16999817,11:27:34
224.9700012,83.19999695,11:27:35
224.4900055,83.25,11:27:36
224.0099945,83.30000305,11:27:37
223.7599945,83.31999969,11:27:38
223.2599945,83.37000275,11:27:39
223.0099945,83.38999939,11:27:40
222.5,83.44000244,11:27:41
221.9900055,83.48999786,11:27:42
221.7299957,83.51000214,11:27:43
221.2100067,83.55000305,11:27:44
220.9400024,83.58000183,11:27:45
220.4100037,83.62000275,11:27:46
219.8800049,83.66999817,11:27:47
219.6000061,83.69000244,11:27:48
219.0500031,83.73000336,11:27:49
218.7700043,83.76000214,11:27:50
218.2100067,83.80000305,11:27:51
217.6499939,83.83999634,11:27:52
217.3600006,83.86000061,11:27:53
216.7799988,83.91000366,11:27:54
216.4799957,83.93000031,11:27:55
215.3000031,84.01000214,11:27:56
214.9900055,84.02999878,11:27:57
214.3899994,84.06999969,11:27:58
214.0700073,84.08999634,11:27:59
213.4600067,84.12999725,11:28:01
212.8300018,84.16999817,11:28:02
212.5,84.19000244,11:28:03
211.8600006,84.22000122,11:28:04
211.5299988,84.23999786,11:28:05
210.8899994,84.27999878,11:28:06
210.2299957,84.30999756,11:28:07
209.8899994,84.33000183,11:28:08
209.2200012,84.37000275,11:28:09
208.8699951,84.37999725,11:28:10
208.1900024,84.41999817,11:28:11
207.5,84.44999695,11:28:12
207.1499939,84.47000122,11:28:13
206.4499969,84.5,11:28:14
206.0899963,84.51000214,11:28:15
205.3699951,84.54000092,11:28:16
204.6499939,84.56999969,11:28:17
204.2799988,84.58999634,11:28:18
203.5399933,84.62000275,11:28:19
203.1699982,84.62999725,11:28:20
202.4299927,84.66000366,11:28:21
201.6900024,84.68000031,11:28:22
201.3000031,84.69999695,11:28:23
200.5399933,84.72000122,11:28:24
200.1399994,84.73999786,11:28:25
199.3800049,84.76000214,11:28:26
198.6100006,84.77999878,11:28:27
198.2100067,84.79000092,11:28:28
197.4199982,84.80999756,11:28:29
197.0099945,84.83000183,11:28:30
196.2100067,84.84999847,11:28:31
195.4100037,84.86000061,11:28:32
194.9900055,84.87000275,11:28:33
194.1900024,84.88999939,11:28:34
193.7799988,84.90000153,11:28:35
192.9600067,84.91999817,11:28:36
192.1399994,84.93000031,11:28:37
191.7100067,84.94000244,11:28:38
190.8800049,84.94999695,11:28:39
190.4499969,84.95999908,11:28:40
189.6199951,84.97000122,11:28:41
188.7899933,84.98000336,11:28:42
188.3500061,84.98999786,11:28:43
187.5,85,11:28:44
187.0700073,85,11:28:45
186.2100067,85.01000214,11:28:46
185.3699951,85.01999664,11:28:47
184.9299927,85.01999664,11:28:48
184.0800018,85.02999878,11:28:49
183.6300049,85.02999878,11:28:50
182.7700043,85.02999878,11:28:51
181.9100037,85.04000092,11:28:52
181.4600067,85.04000092,11:28:53
180.5899963,85.04000092,11:28:54
180.1600037,85.04000092,11:28:55
179.3200073,85.04000092,11:28:56
178.4600067,85.04000092,11:28:57
178.0200043,85.04000092,11:28:58
177.1600037,85.02999878,11:28:59
176.7100067,85.02999878,11:29:00
175.8500061,85.01999664,11:29:01
175.0099945,85.01999664,11:29:02
174.5800018,85.01999664,11:29:03
173.7299957,85.01000214,11:29:04
173.2899933,85,11:29:05
172.4400024,84.98999786,11:29:06
171.6000061,84.98000336,11:29:07
171.1699982,84.98000336,11:29:08
170.3399963,84.97000122,11:29:09
169.9199982,84.95999908,11:29:10
169.0800018,84.94999695,11:29:11
168.25,84.93000031,11:29:12
167.8300018,84.91999817,11:29:13
167.0099945,84.91000366,11:29:14
166.5899963,84.90000153,11:29:15
165.7899933,84.87999725,11:29:16
164.9900055,84.86000061,11:29:17
164.5800018,84.84999847,11:29:18
163.7799988,84.83000183,11:29:19
163.3699951,84.81999969,11:29:20
162.5800018,84.80000305,11:29:21
161.8099976,84.77999878,11:29:22
161.4199982,84.76999664,11:29:23
160.6399994,84.73999786,11:29:24
160.25,84.73000336,11:29:25
159.4799957,84.69999695,11:29:26
158.7299957,84.68000031,11:29:27
158.3399963,84.66000366,11:29:28
157.6100006,84.63999939,11:29:29
157.2400055,84.62000275,11:29:30
156.5,84.58999634,11:29:31
155.7799988,84.56999969,11:29:32
155.4100037,84.55000305,11:29:33
154.6900024,84.51999664,11:29:34
154.3200073,84.5,11:29:35
153.6199951,84.47000122,11:29:36
152.9400024,84.44000244,11:29:37
152.5899963,84.41999817,11:29:38
151.9100037,84.38999939,11:29:39
151.5599976,84.37000275,11:29:40
150.8699951,84.33999634,11:29:41
150.2100067,84.30000305,11:29:42
149.8699951,84.29000092,11:29:43
149.2299957,84.25,11:29:44
148.8999939,84.23000336,11:29:45
148.2599945,84.19999695,11:29:46
147.6199951,84.16000366,11:29:47
147.2799988,84.13999939,11:29:48
146.6799927,84.09999847,11:29:49
146.3600006,84.08000183,11:29:50
145.7700043,84.04000092,11:29:51
145.2200012,84,11:29:52
144.9600067,83.98999786,11:29:53
144.4900055,83.95999908,11:29:54
144.2700043,83.94000244,11:29:55
143.8600006,83.91000366,11:29:56
143.5099945,83.88999939,11:29:57
143.3399963,83.87999725,11:29:58
143.0399933,83.86000061,11:29:59
142.8999939,83.84999847,11:30:00
142.6499939,83.83000183,11:30:01
142.4199982,83.80999756,11:30:02
142.3099976,83.80000305,11:30:03
142.1199951,83.79000092,11:30:04
142.0399933,83.77999878,11:30:05
141.8699951,83.76999664,11:30:06
141.7200012,83.76000214,11:30:07
141.6499939,83.76000214,11:30:08
141.5299988,83.75,11:30:09
