Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),,True RA,True DEC
7/10/2026,26:08.4,3.88E-05,-44.10869598,-118.8455887,369.0777588,336.3300171,32.7477417,,3.058004618,303.9529419,0.834821761,7.748519897,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,39.34908295,87.94044495,18.14844894,11.82286835,0,10,0,0,2026-07-10T14:26:08.449Z,71.41000366,84.61000061,0,0,,4.542160468,36.69596693
7/10/2026,26:09.4,3.93E-05,-44.05229568,-118.789711,373.8573303,336.3300171,37.52731323,,3.058004618,348.3152161,0.845632732,7.848863602,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,39.27802277,87.94261169,18.14842987,11.82284927,0,10,0,0,2026-07-10T14:26:09.450Z,71.16000366,84.68000031,0,0,,4.536313752,36.70019136
7/10/2026,26:10.5,3.91E-05,-44.07584763,-118.8133698,371.8259583,336.3300171,35.49594116,,3.058004618,329.4607544,0.841037929,7.80621624,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,39.20681381,87.94477081,18.1484108,11.8228302,0,10,0,0,2026-07-10T14:26:10.459Z,70.91999817,84.73999786,0,0,,4.531295498,36.70554138
7/10/2026,26:11.5,3.89E-05,-44.10220718,-118.8395004,369.59552,336.3300171,33.26550293,,3.058004618,308.7586365,0.835992873,7.759389877,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,39.13545227,87.9469223,18.14839554,11.82281494,0,10,0,0,2026-07-10T14:26:11.470Z,70.80000305,84.77999878,0,0,,4.52812795,36.70529656
7/10/2026,26:12.5,3.88E-05,-44.11548615,-118.8515396,368.5726013,336.3300171,32.24258423,,3.058004618,299.2642517,0.83367914,7.737914562,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,39.06393814,87.94907379,18.14837646,11.82279587,0,10,0,0,2026-07-10T14:26:12.472Z,70.52999878,84.83999634,0,0,,4.523051655,36.71235217
7/10/2026,26:13.5,3.85E-05,-44.14681625,-118.8834076,365.8780212,336.3300171,29.54800415,,3.058004618,274.2541199,0.827584207,7.681343555,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.99226761,87.95122528,18.14835739,11.82277679,0,10,0,0,2026-07-10T14:26:13.471Z,70.41000366,84.87999725,0,0,,4.519885582,36.71156858
7/10/2026,26:14.5,3.85E-05,-44.14579773,-118.8825912,365.9466858,336.3300171,29.6166687,,3.058004618,274.8914185,0.827739537,7.682785034,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.8484726,87.955513,18.14832306,11.82274246,0,10,0,0,2026-07-10T14:26:14.488Z,69.86000061,85.01000214,0,0,,4.508656077,36.72102274
7/10/2026,26:15.5,3.87E-05,-44.12451172,-118.8618088,367.7019348,336.3300171,31.37191772,,3.058004618,291.1830444,0.831709743,7.719635487,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.7763443,87.95764923,18.14830399,11.82272339,0,10,0,0,2026-07-10T14:26:15.505Z,69.73000336,85.04000092,0,0,,4.506278978,36.72307452
7/10/2026,26:16.5,3.89E-05,-44.10432053,-118.8407822,369.4867249,336.3300171,33.15670776,,3.058004618,307.7488403,0.835746765,7.757105827,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.70406342,87.95978546,18.14828682,11.82270622,0,10,0,0,2026-07-10T14:26:16.502Z,69.44999695,85.11000061,0,0,,4.500403106,36.7253655
7/10/2026,26:17.5,3.89E-05,-44.09660721,-118.8354492,369.9402771,336.3300171,33.61026001,,3.058004618,311.9585571,0.83677268,7.766627789,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.63162994,87.96192169,18.14826775,11.82268715,0,10,0,0,2026-07-10T14:26:17.501Z,69.31999969,85.13999939,0,0,,4.498025138,36.72692919
7/10/2026,26:18.5,3.91E-05,-44.07965851,-118.8173904,371.4821777,336.3300171,35.15216064,,3.058004618,326.269928,0.840260327,7.798998833,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.55904007,87.96405029,18.14825058,11.82266998,0,10,0,0,2026-07-10T14:26:18.512Z,69.01999664,85.19999695,0,0,,4.49291318,36.73278377
7/10/2026,26:19.5,3.89E-05,-44.10455704,-118.8423538,369.3529053,336.3300171,33.02288818,,3.058004618,306.5067749,0.835444093,7.754296303,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.48629761,87.96617889,18.14823341,11.82265282,0,10,0,0,2026-07-10T14:26:19.524Z,68.72000122,85.26999664,0,0,,4.487015888,36.73482177
7/10/2026,26:20.5,3.85E-05,-44.14391327,-118.8796844,366.1913452,336.3300171,29.86132813,,3.058004618,277.1622925,0.828292906,7.687921524,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.41339874,87.96829987,18.14821434,11.82263374,0,10,0,0,2026-07-10T14:26:20.526Z,68.56999969,85.30000305,0,0,,4.484602665,36.73711854
7/10/2026,26:21.5,3.86E-05,-44.13680649,-118.8738937,366.6803894,336.3300171,30.35037231,,3.058004618,281.701416,0.829399109,7.698188782,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.34034348,87.97041321,18.14819717,11.82261658,0,10,0,0,2026-07-10T14:26:21.528Z,68.26000214,85.37000275,0,0,,4.478693231,36.73874169
7/10/2026,26:22.5,3.85E-05,-44.15077591,-118.8892593,365.3847961,336.3300171,29.05477905,,3.058004618,269.676178,0.826468587,7.67098856,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.26713562,87.97253418,18.14818001,11.82259941,0,10,0,0,2026-07-10T14:26:22.536Z,68.11000061,85.40000153,0,0,,4.47628749,36.74048994
7/10/2026,26:23.5,3.84E-05,-44.1599884,-118.8955154,364.8589783,336.3300171,28.52896118,,3.058004618,264.7957153,0.825279236,7.65994978,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.19377136,87.97464752,18.14816093,11.82258034,0,10,0,0,2026-07-10T14:26:23.548Z,67.79000092,85.45999908,0,0,,4.471158049,36.74495531
7/10/2026,26:24.6,3.86E-05,-44.13770676,-118.873085,366.7483215,336.3300171,30.41830444,,3.058004618,282.3319397,0.82955277,7.699615002,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.1202507,87.97675323,18.14814377,11.82256317,0,10,0,0,2026-07-10T14:26:24.552Z,67.47000122,85.51999664,0,0,,4.46603309,36.74868836
7/10/2026,26:25.6,3.90E-05,-44.09087753,-118.8267441,370.6828003,336.3300171,34.3527832,,3.058004618,318.8503723,0.83845222,7.782216549,6.09E-05,0,4.224805355,36.7167244,161.9795685,-10.43109417,38.04657745,87.97885895,18.14812469,11.8225441,0,10,0,0,2026-07-10T14:26:25.552Z,67.30999756,85.55999756,0,0,,4.462829099,36.74689039
