Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),RAFix,DecFix
2026-07-10,11:26:18,4.14E-05,-43.83356857,-118.5734177,392.947998,336.3300171,56.61798096,,3.104483366,525.5080566,0.8888141513,8.249658585,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.3027191,83.13304138,12.13788414,2.376369476,0,0,0,0,2026-07-10T15:26:17.773Z,259.1099854,80.70999908,0,0,4.42528062,32.94122429
2026-07-10,11:26:19,4.20E-05,-43.77137375,-118.5070648,398.9975586,336.3300171,62.6675415,,3.104483366,581.6578979,0.9024977088,8.376664162,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.3249359,83.13549042,12.13786507,2.376350403,0,10,0,0,2026-07-10T15:26:18.792Z,258.4500122,80.76000214,0,0,4.431858837,32.85464847
2026-07-10,11:26:20,4.21E-05,-43.76018143,-118.4968872,399.9340515,336.3300171,63.60403442,,3.104483366,590.3501587,0.9046159983,8.396325111,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.347168,83.13793182,12.13784695,2.376332283,0,10,0,0,2026-07-10T15:26:19.792Z,258.1199951,80.77999878,0,0,4.434929015,32.81033311
2026-07-10,11:26:21,4.20E-05,-43.76618195,-118.5046463,399.2195129,336.3300171,62.88949585,,3.104483366,583.7180176,0.9029997587,8.381323814,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.3694,83.1403656,12.13782787,2.37631321,0,10,0,0,2026-07-10T15:26:20.791Z,257.4599915,80.81999969,0,0,4.4408342,32.72259463
2026-07-10,11:26:22,4.17E-05,-43.79590225,-118.5318832,396.7238159,336.3300171,60.39379883,,3.104483366,560.553894,0.897354722,8.328928947,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.3916626,83.14280701,12.13780975,2.37629509,0,10,0,0,2026-07-10T15:26:21.808Z,256.7999878,80.86000061,0,0,4.446795419,32.63604185
2026-07-10,11:26:23,4.15E-05,-43.81921768,-118.5572357,394.4144897,336.3300171,58.08447266,,3.104483366,539.1195068,0.8921312094,8.280446053,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.4139252,83.14524841,12.13779068,2.376276016,0,10,0,0,2026-07-10T15:26:22.827Z,256.4599915,80.87999725,0,0,4.449977272,32.59171683
2026-07-10,11:26:24,4.18E-05,-43.79285431,-118.5310135,396.8032837,336.3300171,60.4732666,,3.104483366,561.2914429,0.8975344896,8.330596924,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.4362183,83.14768219,12.13777256,2.376257896,0,10,0,0,2026-07-10T15:26:23.829Z,255.8000031,80.91999817,0,0,4.456020869,32.50696869
2026-07-10,11:26:25,4.16E-05,-43.80561066,-118.5400543,395.978241,336.3300171,59.64822388,,3.104483366,553.633728,0.8956682682,8.313276291,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.4585114,83.1501236,12.13775349,2.376238823,0,10,0,0,2026-07-10T15:26:24.828Z,255.4600067,80.94000244,0,0,4.45924525,32.46356918
2026-07-10,11:26:26,4.16E-05,-43.81259155,-118.5510559,394.976532,336.3300171,58.64651489,,3.104483366,544.3361816,0.8934025168,8.292245865,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.4808197,83.15255737,12.13773537,2.376220703,0,10,0,0,2026-07-10T15:26:25.836Z,254.7700043,80.98000336,0,0,4.465500968,32.37624311
2026-07-10,11:26:27,4.17E-05,-43.79796982,-118.5350189,396.4375,336.3300171,60.10748291,,3.104483366,557.8963623,0.8967071176,8.322917938,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.5031586,83.15499115,12.13771629,2.37620163,0,10,0,0,2026-07-10T15:26:26.855Z,254.0700073,81.01999664,0,0,4.47185787,32.28874896
2026-07-10,11:26:28,4.19E-05,-43.77539825,-118.513588,398.3988342,336.3300171,62.06881714,,3.104483366,576.100769,0.9011434317,8.364094734,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.5254974,83.15742493,12.13769817,2.37618351,0,10,0,0,2026-07-10T15:26:27.858Z,253.7299957,81.02999878,0,0,4.474420468,32.2432043
2026-07-10,11:26:29,4.19E-05,-43.77537537,-118.5121384,398.5317383,336.3300171,62.20172119,,3.104483366,577.3343506,0.9014440775,8.366885185,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.5478668,83.1598587,12.13767815,2.376163483,0,10,0,0,2026-07-10T15:26:28.859Z,253.0299988,81.06999969,0,0,4.480865709,32.15757442
2026-07-10,11:26:30,4.22E-05,-43.75027466,-118.4875565,400.7938232,336.3300171,64.46380615,,3.104483366,598.3302002,0.906560719,8.414375305,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.5702362,83.16229248,12.13766003,2.376145363,0,10,0,0,2026-07-10T15:26:29.860Z,252.6900024,81.08000183,0,0,4.483475763,32.11279383
2026-07-10,11:26:31,4.22E-05,-43.74858475,-118.4852524,401.0064697,336.3300171,64.67645264,,3.104483366,600.3039551,0.9070417285,8.418840408,6.09E-05,0,5.501666546,30.24861145,177.1528015,-2.146787167,134.5926361,83.16471863,12.13764095,2.376126289,0,10,0,0,2026-07-10T15:26:30.886Z,251.9900055,81.12000275,0,0,4.490005459,32.02904098
